Equipo,Voltaje,Compartimiento,Conector,CodigoComp,Posicion,Cable,Familia,ModeloHoja,Precio,Listado,Criterio,ModeloListado,CodigoOrden,Descripcion,VoltsAmp,Dimensiones,Peso,KWH,Garantia,ConectorBateria
"FC5710/15-40/50    48v  (27"")",48,38.69 x 27.25 x 23.35,SB350 GRAY,Code 1,A,18,HAWKER FLEX,48FLX471_157 (510652T-SBKN),19788.77963,Master Hawker List,order code,24-85-17,48FLX471_157 (510652T-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,48V / 471AH,38.47 X 26.60 X 21.94,2650,,1 Year,N/A
"FC5710/15-40/50    48v  (27"")",48,38.69 x 27.25 x 23.35,SB350 BLUE,Code 1,A,18,STRYTEN T300 (CMX),M2702408517B,10470,Master GNB List,order code,24-85-17,M2702408517B,Tubular Flooded Lead Acid Industrial Battery,48V / 680AH,38.25 x 26.63 x 22.63,2535,27.9072,5 Yrs Full + 1 Prorated,SB350 Blue 
"FC5710/15-40/50    48v  (27"")",48,38.69 x 27.25 x 23.35,SB350 BLUE,Code 1,A,18,COOLPOWER,24-85-17,9050.168778,Master CoolpowerList ,order code,24-85-17,24-85-17,Flooded Conventional Flat Plate Lead Acid Industrial Battery,48V / 680AH,38.5 x 27 x 22.63,2688,31.5,3Yrs Full + 1Yrs Prorated,SB350 Blue
"FC5710/15-40/50    48v  (27"")",48,38.69 x 27.25 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE TUBULAR,24-90VTA-17,12738.08889,V-Force VTA-VTE Battery,order code,24-85-17,24-90VTA-17,Tubular Low Maintenance Lead Acid Industrial Battery,48/720,38.22x26.61x22.63,2632,33.52,5 Years,N
"FC5710/15-40/50    48v  (27"")",48,38.69 x 27.25 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE TUBULAR,24-100VTE-17,14688.17778,V-Force VTA-VTE Battery,order code,24-85-17,24-100VTE-17,Tubular Low Maintenance Lead Acid Industrial Battery,48/800,38.22x26.61x22.63,2692,37.25,5 Years,N
"FC5720/25-40/50/55/60  36v (30"")",36,38.69 x 29.63 x 23.35,SB350 GRAY,Code 4,A,18,STRYTEN F100 (CLASSIC),M2601808525B,10284,Master GNB List,order code,18-85-25,M2601808525B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 1020AH,38.25 x 29.25 x 22.2,2860,31.3956,3 Yrs Full + 2 Prorated,SB350 Gray
"FC5720/25-40/50/55/60  36v (30"")",36,38.69 x 29.63 x 23.36,SB350 GRAY,Code 4,A,18,STRYTEN T300 (CMX),M2701808525B,11110,Master GNB List,order code,18-85-25,M2701808525B,Tubular Flooded Lead Acid Industrial Battery,36V / 1020AH,38.25 x 29.25 x 22.2,2860,31.3956,5 Yrs Full + 1 Prorated,SB350 Gray
"FC5720/25-40/50/55/60  36v (30"")",36,38.69 x 29.63 x 23.36,SB350 GRAY,Code 4,A,18,V-FORCE TUBULAR,18-90VTA-25,13524.31111,V-Force VTA-VTE Battery,order code,18-85-25,18-90VTA-25,Tubular Low Maintenance Lead Acid Industrial Battery,36/1080,38.21x29.21x22.63,3010,37.71,5 Years,N
"FC5720/25-40/50/55/60  36v (30"")",36,38.69 x 29.63 x 23.36,SB350 GRAY,Code 4,A,18,COOLPOWER,18-85-25,9706.986492,Master CoolpowerList ,order code,18-85-25,18-85-25,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 1020AH,38.25 x 29.25 x 22.2,2592,31.3956,3Yrs Full + 1Yrs Prorated,SB350 Gray
"FC5720/25-40/50/55/60  36v (33"")",36,38.69 x 32.94 x 23.35,SB350 GRAY,Code 1,A,18,V-FORCE VTR,18-90VTR-27,14150,V-Force VTR Battery,order code,18-85-27,18-90VTR-27,Tubular Flooded Lead Acid Industrial Battery,36/1170,38.27 x 31.4 x 22.75,3060,40.86,5 Years,
"FC5720/25-40/50/55/60  36v (33"")",36,38.69 x 32.94 x 23.35,SB350 GRAY,Code 1,A,18,STRYTEN F100 (CLASSIC),M2601808527B,10953,Master GNB List,order code,18-85-27,M2601808527B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,36V / 1105AH,38.44 x 31.5 x 22.2,2959,34.0119,3 Yrs Full + 2 Prorated,SB350 Gray
"FC5720/25-40/50/55/60  36v (33"")",36,38.69 x 32.94 x 23.35,SB350 GRAY,Code 1,A,18,STRYTEN T300 (CMX),M2701808527B,11844,Master GNB List,order code,18-85-27,M2701808527B,Tubular Flooded Lead Acid Industrial Battery,36V / 1105AH,38.44 x 31.5 x 22.63,2947,34.0119,5 Yrs Full + 1 Prorated,SB350 Gray
"FC5720/25-40/50/55/60  36v (33"")",36,38.69 x 32.94 x 23.35,SB350 GRAY,Code 1,A,18,HAWKER FLEX,18-FLX770-43 (310B96P01T2-SBKN),22746.21481,Master Hawker List,order code,18-85-27,18-FLX770-43 (310B96P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,36V / 770AH,38.25 X 31.62 X 22.62,3132,,1 Year,N/A
"FC5720/25-40/50/55/60  36v (33"")",36,38.69 x 32.94 x 23.35,SB350 GRAY,Code 1,A,18,COOLPOWER,18-85-27,10572.57436,Master CoolpowerList ,order code,18-85-27,18-85-27,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 1105AH,38.44 x 31.5 x 22.2,3132,38.39,3Yrs Full + 1Yrs Prorated,SB350 Gray
"FC5740/55-40/50/55/60  36v (36"")",36,38.69 x 36.38 x 23.35,SB350 GRAY,Code 1,A,18,V-FORCE TUBULAR,18-90VTA-31,16569.95556,V-Force VTA-VTE Battery,order code,18-85-31,18-90VTA-31,Tubular Low Maintenance Lead Acid Industrial Battery,36/1350,38.44 x 36.20 x 22.63 ,3510,47.14,5 Years,N
"FC5740/55-40/50/55/60  36v (36"")",36,38.69 x 36.38 x 23.35,SB350 GRAY,Code 1,A,18,V-FORCE TUBULAR,18-100VTE-31,17771.2,V-Force VTA-VTE Battery,order code,18-85-31,18-100VTE-31,Tubular High Capacity Lead Acid Industrial Battery,36/1500,38.44x36.2x22.63,3526,52.38,5 Years,N
"FC5740/55-40/50/55/60  36v (36"")",36,38.69 x 36.38 x 23.35,SB350 GRAY,Code 1,A,18,V-FORCE VTR,18-90VTR-31,16566.66667,V-Force VTR Battery,order code,18-85-31,18-90VTR-31,Tubular Flooded Lead Acid Industrial Battery,36/1350,38.28 x 35.91 x 22.75,3497,47.14,5 Years,
"FC5740/55-40/50/55/60  36v (36"")",36,38.69 x 36.38 x 23.35,SB350 GRAY,Code 1,A,18,COOLPOWER,18-85-31,12291.78073,Master CoolpowerList ,order code,18-85-31,18-85-31,Flooded Conventional Flat Plate Lead Acid Industrial Battery,36V / 1275AH, x  x ,3780,44.29,3Yrs Full + 1Yrs Prorated,SB350 Gray
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 4,A,18,STRYTEN F100 (CLASSIC),M2602408519B,10687,Master GNB List,order code,24-85-19,M2602408519B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,48V / 765AH,38.44 x 29.88 x 22.2,2850,31.3956,3 Yrs Full + 2 Prorated,SB350 Blue
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 4,A,18,STRYTEN T300 (CMX),M2702408519B,11537,Master GNB List,order code,24-85-19,M2702408519B,Tubular Flooded Lead Acid Industrial Battery,48V / 765AH,38.44 x 29.88 x 22.62,2850,31.3956,5 Yrs Full + 1 Prorated,SB350 Blue
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,STRYTEN F100 (CLASSIC),M2602408521B,11671,Master GNB List,order code,24-085-21,M2602408521B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,48V / 850AH,38.25 x 32.63 x 22.2,3082,34.884,3 Yrs Full + 2 Prorated,SB350 Blue
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,STRYTEN T300 (CMX),M2702408521B,12603,Master GNB List,order code,24-085-21,M2702408521B,Tubular Flooded Lead Acid Industrial Battery,48V / 850AH,38.25 x 32.63 x 22.63,3080,34.884,5 Yrs Full + 1 Prorated,SB350 Blue
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,HAWKER FLEX,24-FLX770-43 (310B80P01T2-SBKN),24778.36667,Master Hawker List,order code,24-85-21,24-FLX770-43 (310B80P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,48V / 770AH,38.58 X 32.77 X 22.62,3264,,1 Year,N/A
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,HAWKER FLEX,24-FLX660-37** (310B65P01T2-SBKN),24281.67778,Master Hawker List,order code,24-85-21,24-FLX660-37** (310B65P01T2-SBKN),HAWKER Sealed TPPL Technologic Industrial Battery,48V / 660AH,38.50 X 32.25 X 22.62,3264,,1 Year,N/A
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,COOLPOWER,24-85-21,10906.4663,Master CoolpowerList ,order code,24-85-21,24-85-21,Flooded Conventional Flat Plate Lead Acid Industrial Battery,48V / 850AH,38.25 x 32.63 x 22.63,3288,39.37,3Yrs Full + 1Yrs Prorated,SB350 Blue
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE TUBULAR,24-90VTA-21,15096.75556,V-Force VTA-VTE Battery,order code,24-85-21,24-90VTA-21,Tubular Low Maintenance Lead Acid Industrial Battery,48/900,38.22x32.61x22.63,3050,41.9,5 Years,N
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE TUBULAR,24-100VTE-21,16335.37778,V-Force VTA-VTE Battery,order code,24-85-21,24-100VTE-21,Tubular Low Maintenance Lead Acid Industrial Battery,48/1000,38.22x32.61x20.63,3160,46.56,5 Years,N
"FC5720/25-40/50/55/60  48v (33"")",48,38.69 x 32.94 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE VTR,24-90VTR-21,14761.11111,V-Force VTR Battery,order code,24-85-21,24-90VTR-21,Tubular Flooded Lead Acid Industrial Battery,48/900,38.27 x 32.66 x 22.75,3158,41.9,5 Years,
"FC5740/45- 50/55/60  48v (36"")",48,38.69 x 36.38 x 23.35,SB350 BLUE,Code 1,A,18,STRYTEN F100 (CLASSIC),M2602408523B,11896,Master GNB List,order code,24-85-23,M2602408523B,Flooded Conventional Lead Acid Flat Plate Industrial Battery,48V / 935AH,38.44 x 35.88 x 22.2,3452,38.3724,3 Yrs Full + 2 Prorated,SB350 Blue
"FC5740/45- 50/55/60  48v (36"")",48,38.69 x 36.38 x 23.35,SB350 BLUE,Code 1,A,18,STRYTEN T300 (CMX),M2702408523B,13824,Master GNB List,order code,24-85-23,M2702408523B,Tubular Flooded Lead Acid Industrial Battery,48V / 935AH,38.44 x 35.88 x 22.63,3477,38.3724,5 Yrs Full + 1 Prorated,SB350 Blue
"FC5740/45- 50/55/60  48v (36"")",48,38.69 x 36.38 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE VTR,24-90VTR-23,16155.55556,V-Force VTR Battery,order code,24-85-23,24-90VTR-23,Tubular Flooded Lead Acid Industrial Battery,48/990,38.27 x 35.66 x 22.69,3473,46.09,5 Years,
"FC5740/45- 50/55/60  48v (36"")",48,38.69 x 36.38 x 23.35,SB350 BLUE,Code 1,A,18,COOLPOWER,24-85-23,11592.06304,Master CoolpowerList ,order code,24-85-23,24-85-23,Flooded Conventional Flat Plate Lead Acid Industrial Battery,48V / 935AH,38.44 x 35.88 x 22.63,2592,43.31,3Yrs Full + 1Yrs Prorated,SB350 Blue
"FC5740/45- 50/55/60  48v (36"")",48,38.69 x 36.38 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE TUBULAR,24-90VTA-23,15950,V-Force VTA-VTE Battery,order code,24-85-23,24-90VTA-23,Tubular Low Maintenance Lead Acid Industrial Battery,48/990,38.38x35.88x22.63,3400,46.09,5 Years,N
"FC5740/45- 50/55/60  48v (36"")",48,38.69 x 36.38 x 23.35,SB350 BLUE,Code 1,A,18,V-FORCE TUBULAR,24-100VTE-23,17794.4,V-Force VTA-VTE Battery,order code,24-85-23,24-100VTE-23,Tubular Low Maintenance Lead Acid Industrial Battery,48/1100,38.38x35.88x22.63,3400,51.22,5 Years,N
"MPC3000 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,V-FORCE VTR,12-125VTR-13,6688.888889,V-Force VTR Battery,order code,12-125-13,12-125VTR-13,Tubular Flooded Lead Acid Industrial Battery,24/750,30.65 x 12.71 x 30.81,1392,17.37,5 Years,
"MPC3000 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,V-FORCE VTR,12-90VTR-13,4969.444444,V-Force VTR Battery,order code,12-85-13,12-90VTR-13,Tubular Flooded Lead Acid Industrial Battery,24/540,30.65 x 12.71 x 23.12,983,12.57,5 Years,
"MPC3000 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,COOLPOWER,12-125-13,4751.242818,Master CoolpowerList ,order code,12-125-13,12-125-13,Flooded Conventional Flat Plate Lead Acid Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1500,17.37,3Yrs Full + 1Yrs Prorated,SB175 Gray
"MPC3000 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,STRYTEN F100 (CLASSIC),M1601212513A,4834,Master GNB List,order code,12-125-13,M1601212513A,Flooded Conventional Lead Acid Flat Plate Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1329,15.39,3 Yrs Full + 2 Prorated,SB175 Gray
"MPC3000 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,STRYTEN T300 (CMX),M1701212513A,5211,Master GNB List,order code,12-125-13,M1701212513A,Tubular Flooded Lead Acid Industrial Battery,24V / 750AH,30.63 x 12.81 x 31,1324,15.39,5 Yrs Full + 1 Prorated,SB175 Gray
"MPC3000 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,HAWKER FLEX,24FLX372_186 (310B34P02T-SBKY),8093.892593,Master Hawker List,order code,12-85-13,24FLX372_186 (310B34P02T-SBKY),HAWKER Sealed TPPL Technologic Industrial Battery,24V / 372AH,30.4 x 12.75 x 25,1006,,1 Year,N/A
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,V-FORCE VTR,12-90VTR-13,4969.444444,V-Force VTR Battery,order code,12-85-13,12-90VTR-13,Tubular Flooded Lead Acid Industrial Battery,24/540,30.65 x 12.71 x 23.12,983,12.57,5 Years,
"PE4500-60/80 (13"")",24,31.12 x 13.19 x 31.62,SB175 GRAY,13.19,A,20,V-FORCE VTR,12-125VTR-13,6688.888889,V-Force VTR Battery,order code,12-125-13,12-125VTR-13,Tubular Flooded Lead Acid Industrial Battery,24/750,30.65 x 12.71 x 30.81,1392,17.37,5 Years,
